Dest,DrivingMiles,EuclidMiles,Orig
LAFY,0,12.094315995970016,DBRK
LAKE,0,5.149193983940484,DBRK
MCAR,0,2.8684732204553245,DBRK
MLBR,0,27.827485277808947,DBRK
MONT,0,11.881264304387173,DBRK
NBRK,0,0.8900812631339213,DBRK
NCON,0,22.485818332919145,DBRK
ORIN,0,8.655185794012645,DBRK
PITT,0,26.95306375345586,DBRK
PHIL,0,16.978832980243997,DBRK
POWL,0,12.3001974988229,DBRK
RICH,0,7.0214321157281585,DBRK
ROCK,0,4.26805907913858,DBRK
SBRN,0,24.75290635603192,DBRK
SFIA,0,26.736213992878877,DBRK
SANL,0,12.887597405054219,DBRK
SHAY,0,21.253286958962434,DBRK
SSAN,0,22.367387316130362,DBRK
UCTY,0,24.96513070250599,DBRK
WCRK,0,15.288871481459203,DBRK
WDUB,0,26.415644565107623,DBRK
WOAK,0,5.870662948732172,DBRK
12TH,0,23.32981262009193,DUBL
16TH,0,32.465506383811466,DUBL
19TH,0,23.6523021297439,DUBL
24TH,0,33.35139342048706,DUBL
ASHB,0,26.77564418322264,DUBL
BALB,0,35.98542439887693,DUBL
BAYF,0,12.477174421140877,DUBL
CAST,0,9.630815466803462,DUBL
CIVC,0,31.416200790304657,DUBL
COLS,0,17.9801740804528,DUBL
COLM,0,39.08937719466636,DUBL
CONC,0,42.63804402782157,DUBL
DALY,0,37.59960592741614,DUBL
DBRK,0,27.941146093332407,DUBL
DUBL,0,0,DUBL
DELN,0,32.85420009615438,DUBL
PLZA,0,31.01143881844543,DUBL
EMBR,0,30.10186896632143,DUBL
FRMT,0,25.238937450888205,DUBL
FTVL,0,20.04765143909308,DUBL
GLEN,0,34.93574232713304,DUBL
HAYW,0,15.298427301597394,DUBL
LAFY,0,34.298515648391714,DUBL
LAKE,0,22.79195210939205,DUBL
MCAR,0,25.072672872877025,DUBL
MLBR,0,46.4100444239305,DUBL
MONT,0,30.46382345050872,DUBL
NBRK,0,28.83122735646633,DUBL
NCON,0,44.69001798534085,DUBL
ORIN,0,30.859385446434345,DUBL
PITT,0,49.157263405877565,DUBL
PHIL,0,39.1830326326657,DUBL
POWL,0,30.882756644944447,DUBL
RICH,0,34.96257820906057,DUBL
ROCK,0,26.47225873156028,DUBL
SBRN,0,43.335465502153475,DUBL
SFIA,0,45.31877313900043,DUBL
SANL,0,15.053548688278283,DUBL
SHAY,0,18.26648970791155,DUBL
SSAN,0,40.949946462251916,DUBL
UCTY,0,21.978333451455107,DUBL
WCRK,0,37.4930711338809,DUBL
WDUB,0,1.5255015282250481,DUBL
WOAK,0,24.45322209485372,DUBL
12TH,0,9.524387476062675,DELN
16TH,0,18.796001240511906,DELN
19TH,0,9.201897966410504,DELN
24TH,0,19.6818882771875,DELN
ASHB,0,6.078555912931511,DELN
BALB,0,22.31591925557737,DELN
BAYF,0,20.37702567501375,DELN
CAST,0,23.223384629351205,DELN
CIVC,0,17.7466956470051,DELN
COLS,0,14.874026015701803,DELN
COLM,0,25.419872051366802,DELN
CONC,0,25.346898378221862,DELN
DALY,0,23.930100784116583,DELN
DBRK,0,4.913054002821993,DELN
DUBL,0,32.85420009615465,DELN
DELN,0,0,DELN
PLZA,0,1.8427612777090447,DELN
EMBR,0,16.432363823021873,DELN
FRMT,0,33.138788704761076,DELN
FTVL,0,12.806548657061398,DELN
GLEN,0,21.266237183833482,DELN
HAYW,0,23.198278555470267,DELN
LAFY,0,17.00736999879201,DELN
LAKE,0,10.062247986762475,DELN
MCAR,0,7.781527223277317,DELN
MLBR,0,32.74053928063094,DELN
MONT,0,16.794318307209164,DELN
NBRK,0,4.022972739688067,DELN
NCON,0,27.398872335741142,DELN
ORIN,0,13.56823979683464,DELN
PITT,0,31.86611775627786,DELN
PHIL,0,21.891886983065994,DELN
POWL,0,17.21325150164489,DELN
RICH,0,2.1083781129061854,DELN
ROCK,0,9.181113081960573,DELN
SBRN,0,29.665960358853912,DELN
SFIA,0,31.649267995700868,DELN
SANL,0,17.80065140787621,DELN
SHAY,0,26.16634096178442,DELN
SSAN,0,27.280441318952352,DELN
UCTY,0,29.87818470532798,DELN
WCRK,0,20.2019254842812,DELN
WDUB,0,31.328698567929614,DELN
WOAK,0,10.783716951554165,DELN
12TH,0,7.681626198353631,PLZA
16TH,0,16.95323996280286,PLZA
19TH,0,7.35913668870146,PLZA
24TH,0,17.839126999478456,PLZA
ASHB,0,4.235794635222467,PLZA
BALB,0,20.473157977868325,PLZA
BAYF,0,18.53426439730471,PLZA
CAST,0,21.380623351642164,PLZA
CIVC,0,15.903934369296056,PLZA
COLS,0,13.03126473799276,PLZA
COLM,0,23.577110773657758,PLZA
CONC,0,23.504137100512814,PLZA
DALY,0,22.087339506407538,PLZA
DBRK,0,3.0702927251129486,PLZA
DUBL,0,31.01143881844561,PLZA
DELN,0,1.84276127770895,PLZA
PLZA,0,0,PLZA
EMBR,0,14.589602545312829,PLZA
FRMT,0,31.29602742705204,PLZA
FTVL,0,10.963787379352356,PLZA
GLEN,0,19.423475906124438,PLZA
HAYW,0,21.35551727776123,PLZA
LAFY,0,15.164608721082965,PLZA
LAKE,0,8.219486709053433,PLZA
MCAR,0,5.938765945568273,PLZA
MLBR,0,30.897778002921896,PLZA
MONT,0,14.95155702950012,PLZA
NBRK,0,2.1802114619790216,PLZA
NCON,0,25.556111058032094,PLZA
ORIN,0,11.725478519125595,PLZA
PITT,0,30.02335647856881,PLZA
