Station Pair ID,From,To,Miles, Fare ,Self,Airport,FromBaySide,ToBaySide,TransBay,SanMateo
104,19th St.,Fruitvale,4.4,1.75,0,0,E,E,0,0
105,19th St.,Glen Park,14.96,3.65,0,0,E,W,1,0
106,19th St.,Hayward,15.26,3.05,0,0,E,E,0,0
107,19th St.,Lafayette,12.37,2.8,0,0,E,E,0,0
108,19th St.,Lake Merritt,1.01,1.75,0,0,E,E,0,0
109,19th St.,MacArthur,1.92,1.75,0,0,E,E,0,0
110,19th St.,Millbrae,23.55,4.55,0,0,E,W,1,1
111,19th St.,Montgomery,10.52,3.15,0,0,E,W,1,0
112,19th St.,North Berkeley,7.08,1.8,0,0,E,E,0,0
113,19th St.,North Concord,23.92,3.9,0,0,E,E,0,0
114,19th St.,Orinda,8.67,2.2,0,0,E,E,0,0
115,19th St.,Pittsburg/Bay Pt,28.4,4.4,0,0,E,E,0,0
116,19th St.,Pleasant Hill,17.25,3.35,0,0,E,E,0,0
117,19th St.,Powell,10.51,3.15,0,0,E,W,1,0
118,19th St.,Richmond,11.66,2.65,0,0,E,E,0,0
119,19th St.,Rockridge,2.79,1.75,0,0,E,E,0,0
120,19th St.,San Bruno,22.12,4.25,0,0,E,W,1,1
121,19th St.,SFIA,23.02,8.5,0,1,E,W,1,0
122,19th St.,San Leandro,9.83,2.3,0,0,E,E,0,0
123,19th St.,South Hayward,18.6,3.3,0,0,E,E,0,0
124,19th St.,South SF,21.45,4,0,0,E,W,1,1
125,19th St.,Union City,21.98,3.75,0,0,E,E,0,0
126,19th St.,Walnut Creek,15.58,3.2,0,0,E,E,0,0
127,19th St.,West Dublin,25.04,3.9,0,0,E,E,0,0
128,19th St.,West Oakland,2.11,1.75,0,0,E,E,0,0
129,24th St.,12th St.,13.29,3.4,0,0,W,E,1,0
130,24th St.,16th St.,0.89,1.75,0,0,W,W,0,0
131,24th St.,19th St.,12.76,3.4,0,0,W,E,1,0
132,24th St.,Ashby,13.19,3.75,0,0,W,E,1,0
